PEMB,Petra Microfinance Bank,090165
ABM,AccessMobile,100013
ABMB,AL-Barakah Microfinance Bank,090133
ABN,ACCESS BANK,000014
ACMB,Accion Microfinance Bank,090134
ADMB,Addosser Microfinance Bank,090160
AGM,AG Mortgage Bank Plc,100028
AKMFB,Alpha Kapital Microfinance Bank,090169
AMB,Abbey Mortgage Bank,070010
AMB,Apeks Microfinance Bank,090143
AMFB,Amju MFB,090180
ASO,ASO SAVINGS,090001
AWMFB,Allworkers Microfinance Bank,090131
BCMB,Baines Credit Microfinance Bank,090188
BKMB,BC Kash Microfinance Bank,090127
BMB,Brent Mortgage Bank,070015
BMF,Boctrust Microfinance Bank,090117
BMFB,Bowen Microfinance Bank,090148
CEL,Cellulant,100005
CEMB,CEMCS Microfinance Bank,090154
CHM,CHAMS MOBILE,100015
CIT,CITI BANK,000009
CMB,CIT Microfinance Bank,090144
CMFB,Consumer Microfinance Bank,090130
COR,Coronation,060001
COV,Covenant,070006
DBP,Diamond Bank Plc,000005
DMB,Daylight Microfinance Bank,090167
EAT,Eartholeum,100021
ECM,Ecobank Xpress Account,100008
ECO,ECO BANK,000010
EEMB,Eso-E Microfinance Bank,090166
EMB,EKONDO MICROFINANCE BANK,090097
EMFB,EMPIRE MFB,090114
ENT,ENTERPRISE BANK,000019
ENT,Hedonmark,100017
ESMB,Esan Microfinance Bank,090189
ETZ,eTranzact,100006
FAMFB,FAST MFB,090179
FBL,Fidelity Bank Plc,000007
FBM,FBNMobile,100014
FBMFB,FBNQUEST MERCHANT BANK,060002
FBN,First Bank Plc,000016
FCM,FCMB,000003
FDM,Fidelity Mobile,100019
FET,FET,100001
FFMB,FFS Microfinance Bank,090153
FGMB,First Generation Mortgage Bank,070014
FIB,FINATRUST MICROFINANCE BANK,090111
FMB,Fortis Microfinance Bank,070002
FMB,Fullrange Microfinance Bank,090145
FMFB,Fidfund Microfinance Bank,090126
FMT,FBN Mortgage bank,090107
FRMB,First Royal Microfinance Bank,090164
